#
# This is a header
#
ID	I	D	D12	D25	D50	D75	D100	D200	D400	R12	R25	R50	R75	R100	R200	R400
AE017198.fasta	121782.7473	0.999989	0.798399	0.990146	0.99824	0.999561	0.999739	0.999999	0.999999	0.340628	0.015554	0.003415	0.000878	0.00052	0	0
AJ270060.fasta	785378.7448	0.999998	0.474771	0.98802	0.998044	0.998887	0.999069	0.999313	0.999374	0.737665	0.020183	0.003627	0.002188	0.001842	0.001373	0.001252
AM055943.fasta	125244.7953	0.999989	0.856042	0.987493	0.998422	0.99942	0.999611	0.99994	0.999999	0.244051	0.019291	0.002923	0.001138	0.000777	0.000118	0
AM263198.fasta	169835.1488	0.999992	0.774934	0.995026	0.998876	0.999562	0.999712	0.999942	1	0.378164	0.008996	0.002249	0.000875	0.000577	0.000116	0
AM269894.fasta	54664.29272	0.999973	0.770298	0.941929	0.993383	0.998581	0.999281	0.999999	0.999999	0.317001	0.086023	0.011896	0.002779	0.001415	0	0
BA000004.fasta	249483.3719	0.999994	0.787085	0.981147	0.995045	0.998009	0.998564	0.999323	0.999616	0.362067	0.026781	0.008965	0.003967	0.002866	0.001353	0.000767
BN001302.fasta	245095.0553	0.999995	0.863351	0.997984	0.999804	0.999968	0.999991	1	1	0.254852	0.003544	0.000374	0.000064	0.000019	0	0
BX284601.fasta	791251.1301	0.999998	0.428368	0.974216	0.996081	0.998749	0.999374	0.999922	1	0.748034	0.037996	0.006569	0.002268	0.001175	0.000155	0
CAID01000012.fasta	35098.00465	0.999963	0.904726	0.994762	0.999103	0.999693	0.999883	0.999998	0.999998	0.160217	0.009059	0.00176	0.00061	0.000231	0	0
CM000001.fasta	5725577.713	1	0.110955	0.954464	0.991982	0.997612	0.998906	0.999795	0.999961	0.978705	0.056001	0.011208	0.003892	0.001917	0.000392	0.000076
CM000038.fasta	1231540.694	0.999999	0.355751	0.972486	0.996976	0.999549	0.999853	0.999985	0.999999	0.84974	0.034917	0.004687	0.000855	0.000288	0.000029	0.000002
CM000043.fasta	113164.2415	0.999989	0.921996	0.998359	0.999869	0.999973	0.999987	0.999999	0.999999	0.147857	0.003183	0.000261	0.000053	0.000024	0	0
CM000071.fasta	1056429.866	0.999999	0.490822	0.993915	0.999423	0.999779	0.999839	0.999897	0.999937	0.741522	0.009758	0.001093	0.000436	0.000319	0.000205	0.000125
CM000091.fasta	2531244.544	0.999999	0.221354	0.939741	0.988521	0.995993	0.997527	0.998799	0.999022	0.938183	0.085047	0.018414	0.007354	0.004744	0.002395	0.001956
CM000110.fasta	602737.7107	0.999928	0.541027	0.975356	0.985814	0.98854	0.988804	0.989091	0.989276	0.689083	0.04792	0.028318	0.022921	0.022392	0.021818	0.021448
CM000134.fasta	1101982.813	0.999999	0.436778	0.958046	0.995992	0.999155	0.999609	0.999899	0.999945	0.781302	0.067963	0.007358	0.001629	0.000772	0.000203	0.00011
CM000152.fasta	315078.26	0.999995	0.353402	0.932334	0.989396	0.995768	0.998145	0.999752	0.999882	0.78317	0.086929	0.013466	0.005533	0.002679	0.000496	0.000236
CM000157.fasta	1192919.503	0.999999	0.450776	0.987184	0.997305	0.999174	0.999617	0.999958	0.999996	0.77756	0.018541	0.00435	0.001491	0.000725	0.000084	0.000008
CM000158.fasta	1136432.073	0.999999	0.464076	0.989908	0.997839	0.999387	0.999717	0.999975	0.999999	0.76511	0.014448	0.003476	0.001109	0.000534	0.000051	0.000001
CM000169.fasta	294223.4539	0.999996	0.834905	0.998767	0.999869	0.99996	0.999985	1	1	0.303854	0.002134	0.000257	0.00008	0.00003	0	0
CM000177.fasta	6583126.405	1	0.085333	0.870236	0.971213	0.992132	0.997433	0.999734	0.999853	0.983314	0.154951	0.038766	0.012114	0.004398	0.000525	0.000294
